"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de oui","Ja in %","Percentuale di sì"
"1","Zwischbergen","Zwischbergen","Zwischbergen","VS",85.714285714,"Zwischbergen","Zwischbergen","Zwischbergen","VS","VS","VS",85.714285714,85.714285714,85.714285714
"2","Ennetbaden","Ennetbaden","Ennetbaden","AG",82.043709392,"Ennetbaden","Ennetbaden","Ennetbaden","AG","AG","AG",82.043709392,82.043709392,82.043709392
"3","Saint-Saphorin (Lavaux)","Saint-Saphorin (Lavaux)","Saint-Saphorin (Lavaux)","VD",80.225988701,"Saint-Saphorin (Lavaux)","Saint-Saphorin (Lavaux)","Saint-Saphorin (Lavaux)","VD","VD","VD",80.225988701,80.225988701,80.225988701
"4","Visperterminen","Visperterminen","Visperterminen","VS",79.586563307,"Visperterminen","Visperterminen","Visperterminen","VS","VS","VS",79.586563307,79.586563307,79.586563307
"5","Kippel","Kippel","Kippel","VS",78.947368421,"Kippel","Kippel","Kippel","VS","VS","VS",78.947368421,78.947368421,78.947368421
"6","Mellikon","Mellikon","Mellikon","AG",78.571428571,"Mellikon","Mellikon","Mellikon","AG","AG","AG",78.571428571,78.571428571,78.571428571
"7","Lussy-sur-Morges","Lussy-sur-Morges","Lussy-sur-Morges","VD",78.472222222,"Lussy-sur-Morges","Lussy-sur-Morges","Lussy-sur-Morges","VD","VD","VD",78.472222222,78.472222222,78.472222222
"8","Chigny","Chigny","Chigny","VD",76.774193548,"Chigny","Chigny","Chigny","VD","VD","VD",76.774193548,76.774193548,76.774193548
"9","Novazzano","Novazzano","Novazzano","TI",76.390243902,"Novazzano","Novazzano","Novazzano","TI","TI","TI",76.390243902,76.390243902,76.390243902
"10","Bettingen","Bettingen","Bettingen","BS",76.237623762,"Bettingen","Bettingen","Bettingen","BS","BS","BS",76.237623762,76.237623762,76.237623762
"11","Prato (Leventina)","Prato (Leventina)","Prato (Leventina)","TI",76.136363636,"Prato (Leventina)","Prato (Leventina)","Prato (Leventina)","TI","TI","TI",76.136363636,76.136363636,76.136363636
"12","Urmein","Urmein","Urmein","GR",75.531914894,"Urmein","Urmein","Urmein","GR","GR","GR",75.531914894,75.531914894,75.531914894
"13","Lohn-Ammannsegg","Lohn-Ammannsegg","Lohn-Ammannsegg","SO",75.483468497,"Lohn-Ammannsegg","Lohn-Ammannsegg","Lohn-Ammannsegg","SO","SO","SO",75.483468497,75.483468497,75.483468497
"14","Brusino Arsizio","Brusino Arsizio","Brusino Arsizio","TI",75.480769231,"Brusino Arsizio","Brusino Arsizio","Brusino Arsizio","TI","TI","TI",75.480769231,75.480769231,75.480769231
"15","Baden","Baden","Baden","AG",75.478092472,"Baden","Baden","Baden","AG","AG","AG",75.478092472,75.478092472,75.478092472
"16","Wiler (Lötschen)","Wiler (Lötschen)","Wiler (Lötschen)","VS",75.394321767,"Wiler (Lötschen)","Wiler (Lötschen)","Wiler (Lötschen)","VS","VS","VS",75.394321767,75.394321767,75.394321767
"17","Obergoms","Obergoms","Obergoms","VS",75.37993921,"Obergoms","Obergoms","Obergoms","VS","VS","VS",75.37993921,75.37993921,75.37993921
