"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de non","Nein in %","Percentuale di no"
"1","Riemenstalden","Riemenstalden","Riemenstalden","SZ",6.52173913,"Riemenstalden","Riemenstalden","Riemenstalden","SZ","SZ","SZ",93.47826087,93.47826087,93.47826087
"2","Rossenges","Rossenges","Rossenges","VD",7.5,"Rossenges","Rossenges","Rossenges","VD","VD","VD",92.5,92.5,92.5
"3","Rueyres","Rueyres","Rueyres","VD",9.448818898,"Rueyres","Rueyres","Rueyres","VD","VD","VD",90.551181102,90.551181102,90.551181102
"4","Dully","Dully","Dully","VD",13.779527559,"Dully","Dully","Dully","VD","VD","VD",86.220472441,86.220472441,86.220472441
"5","Avers","Avers","Avers","GR",13.924050633,"Avers","Avers","Avers","GR","GR","GR",86.075949367,86.075949367,86.075949367
"6","Röthenbach im Emmental","Röthenbach im Emmental","Röthenbach im Emmental","BE",14.776119403,"Röthenbach im Emmental","Röthenbach im Emmental","Röthenbach im Emmental","BE","BE","BE",85.223880597,85.223880597,85.223880597
"7","Berken","Berken","Berken","BE",14.814814815,"Berken","Berken","Berken","BE","BE","BE",85.185185185,85.185185185,85.185185185
"8","Hospental","Hospental","Hospental","UR",15,"Hospental","Hospental","Hospental","UR","UR","UR",85,85,85
"9","Bedretto","Bedretto","Bedretto","TI",15,"Bedretto","Bedretto","Bedretto","TI","TI","TI",85,85,85
"10","Rebévelier","Rebévelier","Rebévelier","BE",15.384615385,"Rebévelier","Rebévelier","Rebévelier","BE","BE","BE",84.615384615,84.615384615,84.615384615
"11","Clarmont","Clarmont","Clarmont","VD",15.384615385,"Clarmont","Clarmont","Clarmont","VD","VD","VD",84.615384615,84.615384615,84.615384615
"12","Doppleschwand","Doppleschwand","Doppleschwand","LU",15.401785714,"Doppleschwand","Doppleschwand","Doppleschwand","LU","LU","LU",84.598214286,84.598214286,84.598214286
"13","Senarclens","Senarclens","Senarclens","VD",15.458937198,"Senarclens","Senarclens","Senarclens","VD","VD","VD",84.541062802,84.541062802,84.541062802
"14","Oberwil im Simmental","Oberwil im Simmental","Oberwil im Simmental","BE",15.478615071,"Oberwil im Simmental","Oberwil im Simmental","Oberwil im Simmental","BE","BE","BE",84.521384929,84.521384929,84.521384929
"15","Chigny","Chigny","Chigny","VD",15.862068966,"Chigny","Chigny","Chigny","VD","VD","VD",84.137931034,84.137931034,84.137931034
"16","Signy-Avenex","Signy-Avenex","Signy-Avenex","VD",16.055045872,"Signy-Avenex","Signy-Avenex","Signy-Avenex","VD","VD","VD",83.944954128,83.944954128,83.944954128
"17","La Brévine","La Brévine","La Brévine","NE",16.326530612,"La Brévine","La Brévine","La Brévine","NE","NE","NE",83.673469388,83.673469388,83.673469388
"18","Schangnau","Schangnau","Schangnau","BE",16.344086022,"Schangnau","Schangnau","Schangnau","BE","BE","BE",83.655913978,83.655913978,83.655913978
"19","Ausserberg","Ausserberg","Ausserberg","VS",16.577540107,"Ausserberg","Ausserberg","Ausserberg","VS","VS","VS",83.422459893,83.422459893,83.422459893
"20","Saint-Etienne","St. Stephan","St. Stephan","BE",16.73582296,"Saint-Etienne","St. Stephan","St. Stephan","BE","BE","BE",83.26417704,83.26417704,83.26417704
"21","Romoos","Romoos","Romoos","LU",16.853932584,"Romoos","Romoos","Romoos","LU","LU","LU",83.146067416,83.146067416,83.146067416
