"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
1001,15.4,15.4,84.6,"Doppleschwand LU","Doppleschwand (LU)","Doppleschwand LU","Nein zur Justizinitiative in Doppleschwand: Mit 379 Nein- zu 69 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 84,6 Prozent.","C'est non à l'initiative sur la justice à Doppleschwand. Les habitants ont refusé le texte à 84,6 pour cent.","A Doppleschwand i cittadini hanno respinto, con il 84,6 percento dei voti, l'Iniziativa popolare “Per la designazione dei giudici federali mediante sorteggio”"
1002,50,0,0,"Entlebuch LU","Entlebuch (LU)","Entlebuch LU","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
1004,18,18,82,"Flühli LU","Flühli (LU)","Flühli LU","Nein zur Justizinitiative in Flühli. Die Gemeinde hat das Volksbegehren mit 82 Prozent abgelehnt.","A Flühli, les citoyens rejettent l'initiative sur la justice, avec 82 pour cent de non.","Nel comune di Flühli l'Iniziativa popolare “Per la designazione dei giudici federali mediante sorteggio” è stata respinta con il 82 percento dei voti."
1005,16.9,16.9,83.1,"Hasle LU","Hasle (LU)","Hasle LU","83,1 Prozent der Stimmbürgerinnen und Stimmbürger von Hasle LU sagen Nein zur Justizinitiative.","Les habitants de Hasle (LU) s'opposent à l'initiative ""Désignation des juges fédéraux par tirage au sort"" avec 83,1 pour cent de non.","No all'Iniziativa sulla giustizia nel comune di Hasle LU: i cittadini hanno bocciato il testo con il 83,1 percento dei voti."
1007,16.9,16.9,83.1,"Romoos LU","Romoos (LU)","Romoos LU","Nein zur Justizinitiative in Romoos. Die Gemeinde hat das Volksbegehren mit 83,1 Prozent abgelehnt.","A Romoos, les citoyens rejettent l'initiative sur la justice, avec 83,1 pour cent de non.","Nel comune di Romoos l'Iniziativa popolare “Per la designazione dei giudici federali mediante sorteggio” è stata respinta con il 83,1 percento dei voti."
1008,50,0,0,"Schüpfheim LU","Schüpfheim (LU)","Schüpfheim LU","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
1009,27,27,73,"Werthenstein LU","Werthenstein (LU)","Werthenstein LU","In Werthenstein hat die Stimmbevölkerung die Justizinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 73 Prozent verworfen.","Les habitants de Werthenstein rejettent à 73 pour cent des voix l'initiative sur la justice.","I cittadini di Werthenstein si sono opposti all'iniziativa sulla giustizia. Il testo è stato respinto con il 73 percento dei voti."
1010,50,0,0,"Escholzmatt-Marbach LU","Escholzmatt-Marbach (LU)","Escholzmatt-Marbach LU","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
1021,32.2,32.2,67.8,"Aesch LU","Aesch (LU)","Aesch LU","Aesch LU hat die Justizinitiative mit 67,8 Prozent abgelehnt.","A Aesch (LU), les habitants disent non à 67,8 pour cent à l'initiative sur la justice.","Da Aesch LU è arrivato un ""no"" alle urne per l'Iniziativa sulla giustizia. I cittadini hanno respinto il testo con il 67,8 percento dei voti."
1023,27.4,27.4,72.6,"Ballwil LU","Ballwil (LU)","Ballwil LU","Ballwil hat die Justizinitiative mit 72,6 Prozent abgelehnt.","A Ballwil, les habitants disent non à 72,6 pour cent à l'initiative sur la justice.","Da Ballwil è arrivato un ""no"" alle urne per l'Iniziativa sulla giustizia. I cittadini hanno respinto il testo con il 72,6 percento dei voti."
1024,36.7,36.7,63.3,"Emmen LU","Emmen (LU)","Emmen LU","Keine Mehrheit für die Justizinitiative in Emmen: Mit 5'998 Nein-Stimmen zu 3'485 Ja-Stimmen oder 63,3 Prozent hat die Gemeinde das Volksbegehren verworfen.","L'initiative ""Désignation des juges fédéraux par tirage au sort"" n'a pas convaincu à Emmen. Les citoyens de la commune ont refusé le texte avec 63,3 pour cent de non.","Con il 63,3 percento di ""no"", i cittadini del comune di Emmen hanno bocciato l'Iniziativa sulla giustizia"
1025,31.9,31.9,68.1,"Ermensee LU","Ermensee (LU)","Ermensee LU","In Ermensee hat die Stimmbevölkerung die Justizinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 68,1 Prozent verworfen.","Les habitants d'Ermensee rejettent à 68,1 pour cent des voix l'initiative sur la justice.","I cittadini di Ermensee si sono opposti all'iniziativa sulla giustizia. Il testo è stato respinto con il 68,1 percento dei voti."
1026,50,0,0,"Eschenbach LU","Eschenbach (LU)","Eschenbach LU","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
1030,50,0,0,"Hitzkirch LU","Hitzkirch (LU)","Hitzkirch LU","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
1031,50,0,0,"Hochdorf LU","Hochdorf (LU)","Hochdorf LU","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
1032,32.5,32.5,67.5,"Hohenrain LU","Hohenrain (LU)","Hohenrain LU","Hohenrain hat die Justizinitiative mit 67,5 Prozent abgelehnt.","A Hohenrain, les habitants disent non à 67,5 pour cent à l'initiative sur la justice.","Da Hohenrain è arrivato un ""no"" alle urne per l'Iniziativa sulla giustizia. I cittadini hanno respinto il testo con il 67,5 percento dei voti."
1033,31.3,31.3,68.7,"Inwil LU","Inwil (LU)","Inwil LU","In Inwil hat die Justizinitiative keine Mehrheit gefunden. Auf 68,7 Prozent der abgegebenen Stimmzettel stand ein Nein.","L'initiative sur la justice n'a pas trouvé de majorité à Inwil. Le texte a été rejeté avec 68,7 pour cent de non.","Nel comune di Inwil l'Iniziativa sulla giustizia è stata bocciata con il 68,7 percento dei voti."
1037,50,0,0,"Rain LU","Rain (LU)","Rain LU","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
1039,32.1,32.1,67.9,"Römerswil LU","Römerswil (LU)","Römerswil LU","In Römerswil hat die Stimmbevölkerung die Justizinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 67,9 Prozent verworfen.","Les habitants de Römerswil rejettent à 67,9 pour cent des voix l'initiative sur la justice.","I cittadini di Römerswil si sono opposti all'iniziativa sulla giustizia. Il testo è stato respinto con il 67,9 percento dei voti."
1040,34.1,34.1,65.9,"Rothenburg LU","Rothenburg (LU)","Rothenburg LU","Nein zur Justizinitiative in Rothenburg: Mit 2'697 Nein- zu 1'398 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 65,9 Prozent.","C'est non à l'initiative sur la justice à Rothenburg. Les habitants ont refusé le texte à 65,9 pour cent.","A Rothenburg i cittadini hanno respinto, con il 65,9 percento dei voti, l'Iniziativa popolare “Per la designazione dei giudici federali mediante sorteggio”"
1041,27,27,73,"Schongau LU","Schongau (LU)","Schongau LU","73 Prozent der Stimmbürgerinnen und Stimmbürger von Schongau sagen Nein zur Justizinitiative.","Les habitants de Schongau s'opposent à l'initiative ""Désignation des juges fédéraux par tirage au sort"" avec 73 pour cent de non.","No all'Iniziativa sulla giustizia nel comune di Schongau: i cittadini hanno bocciato il testo con il 73 percento dei voti."
