"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende"
1,"Zürich","Zurich","Zurigo",48.2,51.8,48.2,162,162,
2,"Bern","Berne","Berna",2.7,97.3,2.7,334,334,
3,"Luzern","Lucerne","Lucerna",58,42,58,80,80,
4,"Uri","Uri","Uri",13.9,86.1,13.9,19,19,
5,"Schwyz","Schwyz","Svitto",41.4,58.6,41.4,30,30,
6,"Obwalden","Obwald","Obvaldo",18.7,81.3,18.7,7,7,
7,"Nidwalden","Nidwald","Nidvaldo",5,95,5,11,11,
8,"Glarus","Glaris","Glarona",66.9,33.1,66.9,3,3,
9,"Zug","Zoug","Zugo",13.5,86.5,13.5,11,11,
10,"Freiburg","Fribourg","Friburgo",10.6,89.4,10.6,128,128,
11,"Solothurn","Soleure","Soletta",48.4,51.6,48.4,107,107,
12,"Basel-Stadt","Bâle-Ville","Basilea Città",2.8,97.2,2.8,3,3,
13,"Basel-Landschaft","Bâle-Campagne","Basilea Campagna",53.8,46.2,53.8,86,86,
14,"Schaffhausen","Schaffhouse","Sciaffusa",69.7,30.3,69.7,26,26,
15,"Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures","Appenzello Esterno",21.1,78.9,21.1,20,20,
16,"Appenzell Innerrhoden","Appenzell Rhodes-Intérieures","Appenzello Interno",79.5,20.5,79.5,6,6,
17,"St. Gallen","Saint-Gall","San Gallo",78.8,21.2,78.8,77,77,
18,"Graubünden","Grisons","Grigioni",33.8,66.2,33.8,101,101,
19,"Aargau","Argovie","Argovia",51,49,51,210,210,
20,"Thurgau","Thurgovie","Turgovia",12.2,87.8,12.2,80,80,
21,"Tessin","Tessin","Ticino",25.3,74.7,25.3,108,108,
22,"Waadt","Vaud","Vaud",14.4,85.6,14.4,302,302,
23,"Wallis","Valais","Vallese",25.2,74.8,25.2,122,122,
24,"Neuenburg","Neuchâtel","Neuchâtel",55.3,44.7,55.3,27,27,
25,"Genf","Genève","Ginevra",86,14,86,45,45,
26,"Jura","Jura","Giura",10,90,10,53,53,
