"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
6601,51.2,51.2,48.8,"Aire-la-Ville GE","Aire-la-Ville (GE)","Aire-la-Ville GE",,"Les habitants d'Aire-la-Ville acceptent avec 51,2 pour cent de oui la loi cantonale sur l'ouverture dominicale des magasins. Le nouveau texte permet notamment l'ouverture des magasins trois dimanches par an, ainsi que le 31 décembre. Il était combattu par un référendum.",
6602,64.2,64.2,35.8,"Anières GE","Anières (GE)","Anières GE",,"Les habitants d'Anières acceptent avec 64,2 pour cent de oui la loi cantonale sur l'ouverture dominicale des magasins. Le nouveau texte permet notamment l'ouverture des magasins trois dimanches par an, ainsi que le 31 décembre. Il était combattu par un référendum.",
6603,36,36,64,"Avully GE","Avully (GE)","Avully GE",,"Les habitants d'Avully s'opposent à la loi cantonale sur l'ouverture dominicale des magasins avec 64 pour cent de non. Le nouveau texte permet notamment l'ouverture des magasins trois dimanches par an, ainsi que le 31 décembre. Il était combattu par un référendum.",
6604,46,46,54,"Avusy GE","Avusy (GE)","Avusy GE",,"A Avusy, les habitants disent non à 54 pour cent à la loi cantonale sur l'ouverture dominicale des magasins. Le nouveau texte permet notamment l'ouverture des magasins trois dimanches par an, ainsi que le 31 décembre. Il était combattu par un référendum.",
6605,52.9,52.9,47.1,"Bardonnex GE","Bardonnex (GE)","Bardonnex GE",,"Les habitants de Bardonnex approuvent avec 52,9 pour cent de oui la loi cantonale sur l'ouverture dominicale des magasins. Le nouveau texte permet notamment l'ouverture des magasins trois dimanches par an, ainsi que le 31 décembre. Il était combattu par un référendum.",
6606,53.7,53.7,46.3,"Bellevue GE","Bellevue (GE)","Bellevue GE",,"Les habitants de Bellevue approuvent avec 53,7 pour cent de oui la loi cantonale sur l'ouverture dominicale des magasins. Le nouveau texte permet notamment l'ouverture des magasins trois dimanches par an, ainsi que le 31 décembre. Il était combattu par un référendum.",
6607,43.4,43.4,56.6,"Bernex GE","Bernex (GE)","Bernex GE",,"Les habitants de Bernex s'opposent à la loi cantonale sur l'ouverture dominicale des magasins avec 56,6 pour cent de non. Le nouveau texte permet notamment l'ouverture des magasins trois dimanches par an, ainsi que le 31 décembre. Il était combattu par un référendum.",
6608,42.1,42.1,57.9,"CarouGE","Carouge (GE)","CarouGE GE",,"Les habitants de Carouge (GE) rejettent la loi cantonale sur l'ouverture dominicale des magasins avec 57,9 pour cent de non. Le nouveau texte permet notamment l'ouverture des magasins trois dimanches par an, ainsi que le 31 décembre. Il était combattu par un référendum.",
6609,51.7,51.7,48.3,"Cartigny GE","Cartigny (GE)","Cartigny GE",,"A Cartigny, les habitants disent oui à 51,7 pour cent à la loi cantonale sur l'ouverture dominicale des magasins. Le nouveau texte permet notamment l'ouverture des magasins trois dimanches par an, ainsi que le 31 décembre. Un référendum avait été lancé.",
6610,52.9,52.9,47.1,"Céligny GE","Céligny (GE)","Céligny GE",,"Les habitants de Céligny acceptent avec 52,9 pour cent de oui la loi cantonale sur l'ouverture dominicale des magasins. Le nouveau texte permet notamment l'ouverture des magasins trois dimanches par an, ainsi que le 31 décembre. Il était combattu par un référendum.",
6611,39.1,39.1,60.9,"Chancy GE","Chancy (GE)","Chancy GE",,"Les habitants de Chancy rejettent la loi cantonale sur l'ouverture dominicale des magasins avec 60,9 pour cent de non. Le nouveau texte permet notamment l'ouverture des magasins trois dimanches par an, ainsi que le 31 décembre. Il était combattu par un référendum.",
6612,56.9,56.9,43.1,"Chêne-Bougeries GE","Chêne-Bougeries (GE)","Chêne-Bougeries GE",,"Les habitants de Chêne-Bougeries acceptent avec 56,9 pour cent de oui la loi cantonale sur l'ouverture dominicale des magasins. Le nouveau texte permet notamment l'ouverture des magasins trois dimanches par an, ainsi que le 31 décembre. Il était combattu par un référendum.",
6613,48.9,48.9,51.1,"Chêne-Bourg GE","Chêne-Bourg (GE)","Chêne-Bourg GE",,"Les habitants de Chêne-Bourg rejettent la loi cantonale sur l'ouverture dominicale des magasins avec 51,1 pour cent de non. Le nouveau texte permet notamment l'ouverture des magasins trois dimanches par an, ainsi que le 31 décembre. Il était combattu par un référendum.",
6614,50.5,50.5,49.5,"Choulex GE","Choulex (GE)","Choulex GE",,"A Choulex, les habitants disent oui à 50,5 pour cent à la loi cantonale sur l'ouverture dominicale des magasins. Le nouveau texte permet notamment l'ouverture des magasins trois dimanches par an, ainsi que le 31 décembre. Un référendum avait été lancé.",
6615,51.8,51.8,48.2,"Collex-Bossy GE","Collex-Bossy (GE)","Collex-Bossy GE",,"A Collex-Bossy, les habitants disent oui à 51,8 pour cent à la loi cantonale sur l'ouverture dominicale des magasins. Le nouveau texte permet notamment l'ouverture des magasins trois dimanches par an, ainsi que le 31 décembre. Un référendum avait été lancé.",
6616,66.7,66.7,33.3,"Collonge-Bellerive GE","Collonge-Bellerive (GE)","Collonge-Bellerive GE",,"Les habitants de Collonge-Bellerive acceptent avec 66,7 pour cent de oui la loi cantonale sur l'ouverture dominicale des magasins. Le nouveau texte permet notamment l'ouverture des magasins trois dimanches par an, ainsi que le 31 décembre. Il était combattu par un référendum.",
6617,68.4,68.4,31.6,"Cologny GE","Cologny (GE)","Cologny GE",,"A Cologny, les habitants disent oui à 68,4 pour cent à la loi cantonale sur l'ouverture dominicale des magasins. Le nouveau texte permet notamment l'ouverture des magasins trois dimanches par an, ainsi que le 31 décembre. Un référendum avait été lancé.",
6618,42.9,42.9,57.1,"Confignon GE","Confignon (GE)","Confignon GE",,"Les habitants de Confignon s'opposent à la loi cantonale sur l'ouverture dominicale des magasins avec 57,1 pour cent de non. Le nouveau texte permet notamment l'ouverture des magasins trois dimanches par an, ainsi que le 31 décembre. Il était combattu par un référendum.",
6619,65.4,65.4,34.6,"Corsier GE","Corsier (GE)","Corsier GE",,"Les habitants de Corsier (GE) approuvent avec 65,4 pour cent de oui la loi cantonale sur l'ouverture dominicale des magasins. Le nouveau texte permet notamment l'ouverture des magasins trois dimanches par an, ainsi que le 31 décembre. Il était combattu par un référendum.",
6620,46.2,46.2,53.8,"Dardagny GE","Dardagny (GE)","Dardagny GE",,"Les habitants de Dardagny s'opposent à la loi cantonale sur l'ouverture dominicale des magasins avec 53,8 pour cent de non. Le nouveau texte permet notamment l'ouverture des magasins trois dimanches par an, ainsi que le 31 décembre. Il était combattu par un référendum.",
6621,43.1,43.1,56.9,"Genf GE","Genève (GE)","Ginevra GE",,"Les habitants de Genève rejettent la loi cantonale sur l'ouverture dominicale des magasins avec 56,9 pour cent de non. Le nouveau texte permet notamment l'ouverture des magasins trois dimanches par an, ainsi que le 31 décembre. Il était combattu par un référendum.",
6622,53.8,53.8,46.2,"Genthod GE","Genthod (GE)","Genthod GE",,"Les habitants de Genthod approuvent avec 53,8 pour cent de oui la loi cantonale sur l'ouverture dominicale des magasins. Le nouveau texte permet notamment l'ouverture des magasins trois dimanches par an, ainsi que le 31 décembre. Il était combattu par un référendum.",
6623,47.1,47.1,52.9,"Le Grand-Saconnex GE","Le Grand-Saconnex (GE)","Le Grand-Saconnex GE",,"Les habitants du Grand-Saconnex s'opposent à la loi cantonale sur l'ouverture dominicale des magasins avec 52,9 pour cent de non. Le nouveau texte permet notamment l'ouverture des magasins trois dimanches par an, ainsi que le 31 décembre. Il était combattu par un référendum.",
6624,52.6,52.6,47.4,"Gy GE","Gy (GE)","Gy GE",,"Les habitants de Gy acceptent avec 52,6 pour cent de oui la loi cantonale sur l'ouverture dominicale des magasins. Le nouveau texte permet notamment l'ouverture des magasins trois dimanches par an, ainsi que le 31 décembre. Il était combattu par un référendum.",
6625,55.4,55.4,44.6,"Hermance GE","Hermance (GE)","Hermance GE",,"A Hermance, les habitants disent oui à 55,4 pour cent à la loi cantonale sur l'ouverture dominicale des magasins. Le nouveau texte permet notamment l'ouverture des magasins trois dimanches par an, ainsi que le 31 décembre. Un référendum avait été lancé.",
6626,57.4,57.4,42.6,"Jussy GE","Jussy (GE)","Jussy GE",,"A Jussy, les habitants disent oui à 57,4 pour cent à la loi cantonale sur l'ouverture dominicale des magasins. Le nouveau texte permet notamment l'ouverture des magasins trois dimanches par an, ainsi que le 31 décembre. Un référendum avait été lancé.",
6627,42.3,42.3,57.7,"Laconnex GE","Laconnex (GE)","Laconnex GE",,"A Laconnex, les habitants disent non à 57,7 pour cent à la loi cantonale sur l'ouverture dominicale des magasins. Le nouveau texte permet notamment l'ouverture des magasins trois dimanches par an, ainsi que le 31 décembre. Il était combattu par un référendum.",
6628,41.6,41.6,58.4,"Lancy GE","Lancy (GE)","Lancy GE",,"Les habitants de Lancy rejettent la loi cantonale sur l'ouverture dominicale des magasins avec 58,4 pour cent de non. Le nouveau texte permet notamment l'ouverture des magasins trois dimanches par an, ainsi que le 31 décembre. Il était combattu par un référendum.",
6629,47.7,47.7,52.3,"Meinier GE","Meinier (GE)","Meinier GE",,"Les habitants de Meinier rejettent la loi cantonale sur l'ouverture dominicale des magasins avec 52,3 pour cent de non. Le nouveau texte permet notamment l'ouverture des magasins trois dimanches par an, ainsi que le 31 décembre. Il était combattu par un référendum.",
6630,42.2,42.2,57.8,"Meyrin GE","Meyrin (GE)","Meyrin GE",,"Les habitants de Meyrin s'opposent à la loi cantonale sur l'ouverture dominicale des magasins avec 57,8 pour cent de non. Le nouveau texte permet notamment l'ouverture des magasins trois dimanches par an, ainsi que le 31 décembre. Il était combattu par un référendum.",
