"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
1,57.8,57.8,42.2,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","Die Gemeinde Aeugst am Albis hat die Pflegeinitiative mit 57,8 Prozent Ja-Stimmen angenommen.","Les habitants d'Aeugst am Albis acceptent avec 57,8 pour cent de oui l'initiative sur les soins infirmiers.","Nel comune di Aeugst am Albis l'Iniziativa sulle cure infermieristiche è stata accettata con il 57,8 percento dei voti."
2,61.9,61.9,38.1,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","61,9 Prozent der Abstimmenden in der Gemeinde Affoltern am Albis haben Ja gesagt zur Pflegeinitiative.","C'est oui à 61,9 pour cent à l'initiative sur les soins infirmiers à Affoltern am Albis.","Con il 61,9 percento di ""sì"", i cittadini del comune di Affoltern am Albis hanno accolto l'Iniziativa sulle cure infermieristiche."
3,62.2,62.2,37.8,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","62,2 Prozent der Abstimmenden in der Gemeinde Bonstetten haben Ja gesagt zur Pflegeinitiative.","C'est oui à 62,2 pour cent à l'initiative sur les soins infirmiers à Bonstetten.","Con il 62,2 percento di ""sì"", i cittadini del comune di Bonstetten hanno accolto l'Iniziativa sulle cure infermieristiche."
4,60.1,60.1,39.9,"Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH","Die Gemeinde Hausen am Albis hat die Pflegeinitiative mit 60,1 Prozent angenommen.","A Hausen am Albis, les habitants disent oui à 60,1 pour cent à l'initiative sur les soins infirmiers.","Nel comune di Hausen am Albis l'Iniziativa popolare “Per cure infermieristiche forti” è stata approvata con il 60,1 percento dei voti."
5,61.5,61.5,38.5,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH","Ja zur Pflegeinitiative in Hedingen: Mit 61,5 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen.","Les habitants de Hedingen approuvent avec 61,5 pour cent de oui l'initiative ""Pour des soins infirmiers forts"".","Sì all'Iniziativa sulle cure infermieristiche nel comune di Hedingen: i cittadini hanno approvato il testo con il 61,5 percento dei voti."
6,59.4,59.4,40.6,"Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH","59,4 Prozent der Abstimmenden in der Gemeinde Kappel am Albis haben Ja gesagt zur Pflegeinitiative.","C'est oui à 59,4 pour cent à l'initiative sur les soins infirmiers à Kappel am Albis.","Con il 59,4 percento di ""sì"", i cittadini del comune di Kappel am Albis hanno accolto l'Iniziativa sulle cure infermieristiche."
7,57.6,57.6,42.4,"Knonau ZH","Knonau (ZH)","Knonau ZH","Ja zur Pflegeinitiative in Knonau: Mit 57,6 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen.","Les habitants de Knonau approuvent avec 57,6 pour cent de oui l'initiative ""Pour des soins infirmiers forts"".","Sì all'Iniziativa sulle cure infermieristiche nel comune di Knonau: i cittadini hanno approvato il testo con il 57,6 percento dei voti."
8,58.5,58.5,41.5,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","In Maschwanden hat die Stimmbevölkerung der Pflegeinitiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 58,5 Prozent angenommen.","A Maschwanden, les habitants sont favorables à l'initiative ""Pour des soins infirmiers forts"", avec 58,5 pour cent de oui.","I cittadini di Maschwanden si sono espressi a favore dell'Iniziativa popolare “Per cure infermieristiche forti”. Il testo è stato approvato con il 58,5 percento dei voti."
9,58.7,58.7,41.3,"Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH","Die Gemeinde Mettmenstetten hat die Pflegeinitiative mit 58,7 Prozent angenommen.","A Mettmenstetten, les habitants disent oui à 58,7 pour cent à l'initiative sur les soins infirmiers.","Nel comune di Mettmenstetten l'Iniziativa popolare “Per cure infermieristiche forti” è stata approvata con il 58,7 percento dei voti."
10,61.9,61.9,38.1,"Obfelden ZH","Obfelden (ZH)","Obfelden ZH","Die Gemeinde Obfelden hat die Pflegeinitiative mit 61,9 Prozent angenommen.","A Obfelden, les habitants disent oui à 61,9 pour cent à l'initiative sur les soins infirmiers.","Nel comune di Obfelden l'Iniziativa popolare “Per cure infermieristiche forti” è stata approvata con il 61,9 percento dei voti."
