"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
1,36.2,36.2,63.8,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","In Aeugst am Albis hat die Justizinitiative keine Mehrheit gefunden. Auf 63,8 Prozent der abgegebenen Stimmzettel stand ein Nein. Aeugst am Albis hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","NA NA","Nel comune di Aeugst am Albis l'Iniziativa sulla giustizia è stata bocciata con il 63,8 percento dei voti. Il comune di Aeugst am Albis bocciando l’iniziativa si è espresso come il suo cantone."
2,62.5,62.5,37.5,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","62,5 Prozent der Abstimmenden in der Gemeinde Affoltern am Albis haben Ja gesagt zur Justizinitiative. Affoltern am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","NA NA","Con il 62,5 percento di ""sì"", i cittadini del comune di Affoltern am Albis hanno accolto l'Iniziativa sulla giustizia. Il comune di Affoltern am Albis approvando l’iniziativa è andato controcorrente rispetto al suo cantone."
3,83.4,83.4,16.6,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","83,4 Prozent der Abstimmenden in der Gemeinde Bonstetten haben Ja gesagt zur Justizinitiative. Bonstetten hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","NA NA","Con il 83,4 percento di ""sì"", i cittadini del comune di Bonstetten hanno accolto l'Iniziativa sulla giustizia. Il comune di Bonstetten approvando l’iniziativa è andato controcorrente rispetto al suo cantone."
4,58,58,42,"Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH","Die Gemeinde Hausen am Albis hat die Initiative ""Für eine Schweiz ohne synthetische Pestizide"" mit 58 Prozent angenommen. Hausen am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","NA NA","Nel comune di Hausen am Albis l'Iniziativa popolare “Per la designazione dei giudici federali mediante sorteggio” è stata approvata con il 58 percento dei voti. Il comune di Hausen am Albis approvando l’iniziativa è andato controcorrente rispetto al suo cantone."
5,61.3,61.3,38.7,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH","Ja zur Justizinitiative in Hedingen: Mit 61,3 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Hedingen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","NA NA","Sì all'Iniziativa sulla giustizia nel comune di Hedingen: i cittadini hanno approvato il testo con il 61,3 percento dei voti. Il comune di Hedingen approvando l’iniziativa è andato controcorrente rispetto al suo cantone."
6,60.7,60.7,39.3,"Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH","60,7 Prozent der Abstimmenden in der Gemeinde Kappel am Albis haben Ja gesagt zur Justizinitiative. Kappel am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","NA NA","Con il 60,7 percento di ""sì"", i cittadini del comune di Kappel am Albis hanno accolto l'Iniziativa sulla giustizia. Il comune di Kappel am Albis approvando l’iniziativa è andato controcorrente rispetto al suo cantone."
7,58.2,58.2,41.8,"Knonau ZH","Knonau (ZH)","Knonau ZH","Ja zur Justizinitiative in Knonau: Mit 58,2 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Knonau hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","NA NA","Sì all'Iniziativa sulla giustizia nel comune di Knonau: i cittadini hanno approvato il testo con il 58,2 percento dei voti. Il comune di Knonau approvando l’iniziativa è andato controcorrente rispetto al suo cantone."
8,92.7,92.7,7.3,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","In Maschwanden hat die Stimmbevölkerung der Justizinitiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 92,7 Prozent angenommen. Maschwanden hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","NA NA","I cittadini di Maschwanden si sono espressi a favore dell'Iniziativa “Per la designazione dei giudici federali mediante sorteggio”. Il testo è stato approvato con il 92,7 percento dei voti. Il comune di Maschwanden approvando l’iniziativa è andato controcorrente rispetto al suo cantone."
9,33.6,33.6,66.4,"Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH","Nein zur Justizinitiative in Mettmenstetten. Die Gemeinde hat das Volksbegehren mit 66,4 Prozent abgelehnt. Mettmenstetten hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","NA NA","Nel comune di Mettmenstetten l'Iniziativa popolare “Per la designazione dei giudici federali mediante sorteggio” è stata respinta con il 66,4 percento dei voti. Il comune di Mettmenstetten bocciando l’iniziativa si è espresso come il suo cantone."
10,10.1,10.1,89.9,"Obfelden ZH","Obfelden (ZH)","Obfelden ZH","Nein zur Justizinitiative in Obfelden. Die Gemeinde hat das Volksbegehren mit 89,9 Prozent abgelehnt. Obfelden hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","NA NA","Nel comune di Obfelden l'Iniziativa popolare “Per la designazione dei giudici federali mediante sorteggio” è stata respinta con il 89,9 percento dei voti. Il comune di Obfelden bocciando l’iniziativa si è espresso come il suo cantone."
11,73,73,27,"Ottenbach ZH","Ottenbach (ZH)","Ottenbach ZH","Ja zur Justizinitiative in Ottenbach: Mit 73 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Ottenbach hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","NA NA","Sì all'Iniziativa sulla giustizia nel comune di Ottenbach: i cittadini hanno approvato il testo con il 73 percento dei voti. Il comune di Ottenbach approvando l’iniziativa è andato controcorrente rispetto al suo cantone."
12,76.2,76.2,23.8,"Rifferswil ZH","Rifferswil (ZH)","Rifferswil ZH","Ja zur Justizinitiative in Rifferswil: Mit 76,2 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Rifferswil hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","NA NA","Sì all'Iniziativa sulla giustizia nel comune di Rifferswil: i cittadini hanno approvato il testo con il 76,2 percento dei voti. Il comune di Rifferswil approvando l’iniziativa è andato controcorrente rispetto al suo cantone."
13,72,72,28,"Stallikon ZH","Stallikon (ZH)","Stallikon ZH","Die Gemeinde Stallikon hat die Initiative ""Für eine Schweiz ohne synthetische Pestizide"" mit 72 Prozent angenommen. Stallikon hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","NA NA","Nel comune di Stallikon l'Iniziativa popolare “Per la designazione dei giudici federali mediante sorteggio” è stata approvata con il 72 percento dei voti. Il comune di Stallikon approvando l’iniziativa è andato controcorrente rispetto al suo cantone."
14,98.1,98.1,1.9,"Wettswil am Albis ZH","Wettswil am Albis (ZH)","Wettswil am Albis ZH","Die Gemeinde Wettswil am Albis hat die Justizinitiative mit 98,1 Prozent Ja-Stimmen angenommen. Wettswil am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","NA NA","Nel comune di Wettswil am Albis l'Iniziativa sulla giustizia è stata accettata con il 98,1 percento dei voti. Il comune di Wettswil am Albis approvando l’iniziativa è andato controcorrente rispetto al suo cantone."
21,89.5,89.5,10.5,"Adlikon ZH","Adlikon (ZH)","Adlikon ZH","89,5 Prozent der Stimmbürgerinnen und Stimmbürger von Adlikon haben die Justizinitiative angenommen. Adlikon hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","NA NA","A Adlikon i cittadini hanno accolto, con il 89,5 percento dei voti, l'Iniziativa sulla giustizia. Il comune di Adlikon approvando l’iniziativa è andato controcorrente rispetto al suo cantone."
22,36.6,36.6,63.4,"Benken ZH","Benken (ZH)","Benken ZH","Benken ZH hat die Justizinitiative mit 63,4 Prozent abgelehnt. Benken ZH hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","NA NA","Da Benken ZH è arrivato un ""no"" alle urne per l'Iniziativa sulla giustizia. I cittadini hanno respinto il testo con il 63,4 percento dei voti. Il comune di Benken ZH bocciando l’iniziativa si è espresso come il suo cantone."
23,63.3,63.3,36.7,"Berg am Irchel ZH","Berg am Irchel (ZH)","Berg am Irchel ZH","63,3 Prozent der Abstimmenden in der Gemeinde Berg am Irchel haben Ja gesagt zur Justizinitiative. Berg am Irchel hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","NA NA","Con il 63,3 percento di ""sì"", i cittadini del comune di Berg am Irchel hanno accolto l'Iniziativa sulla giustizia. Il comune di Berg am Irchel approvando l’iniziativa è andato controcorrente rispetto al suo cantone."
24,85.1,85.1,14.9,"Buch am Irchel ZH","Buch am Irchel (ZH)","Buch am Irchel ZH","85,1 Prozent der Stimmbürgerinnen und Stimmbürger von Buch am Irchel haben die Justizinitiative angenommen. Buch am Irchel hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","NA NA","A Buch am Irchel i cittadini hanno accolto, con il 85,1 percento dei voti, l'Iniziativa sulla giustizia. Il comune di Buch am Irchel approvando l’iniziativa è andato controcorrente rispetto al suo cantone."
25,52.3,52.3,47.7,"Dachsen ZH","Dachsen (ZH)","Dachsen ZH","52,3 Prozent der Stimmbürgerinnen und Stimmbürger von Dachsen haben die Justizinitiative angenommen. Dachsen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","NA NA","A Dachsen i cittadini hanno accolto, con il 52,3 percento dei voti, l'Iniziativa sulla giustizia. Il comune di Dachsen approvando l’iniziativa è andato controcorrente rispetto al suo cantone."
26,8.6,8.6,91.4,"Dorf ZH","Dorf (ZH)","Dorf ZH","In Dorf hat die Stimmbevölkerung die Justizinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 91,4 Prozent verworfen. Dorf hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","NA NA","I cittadini di Dorf si sono opposti all'iniziativa sulla giustizia. Il testo è stato respinto con il 91,4 percento dei voti. Il comune di Dorf bocciando l’iniziativa si è espresso come il suo cantone."
27,67.7,67.7,32.3,"Feuerthalen ZH","Feuerthalen (ZH)","Feuerthalen ZH","67,7 Prozent der Abstimmenden in der Gemeinde Feuerthalen haben Ja gesagt zur Justizinitiative. Feuerthalen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","NA NA","Con il 67,7 percento di ""sì"", i cittadini del comune di Feuerthalen hanno accolto l'Iniziativa sulla giustizia. Il comune di Feuerthalen approvando l’iniziativa è andato controcorrente rispetto al suo cantone."
28,29.9,29.9,70.1,"Flaach ZH","Flaach (ZH)","Flaach ZH","In Flaach hat die Justizinitiative keine Mehrheit gefunden. Auf 70,1 Prozent der abgegebenen Stimmzettel stand ein Nein. Flaach hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","NA NA","Nel comune di Flaach l'Iniziativa sulla giustizia è stata bocciata con il 70,1 percento dei voti. Il comune di Flaach bocciando l’iniziativa si è espresso come il suo cantone."
29,88.6,88.6,11.4,"Flurlingen ZH","Flurlingen (ZH)","Flurlingen ZH","88,6 Prozent der Abstimmenden in der Gemeinde Flurlingen haben Ja gesagt zur Justizinitiative. Flurlingen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","NA NA","Con il 88,6 percento di ""sì"", i cittadini del comune di Flurlingen hanno accolto l'Iniziativa sulla giustizia. Il comune di Flurlingen approvando l’iniziativa è andato controcorrente rispetto al suo cantone."
30,24.4,24.4,75.6,"Andelfingen ZH","Andelfingen (ZH)","Andelfingen ZH","75,6 Prozent der Stimmbürgerinnen und Stimmbürger von Andelfingen sagen Nein zur Justizinitiative. Andelfingen hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","NA NA","No all'Iniziativa sulla giustizia nel comune di Andelfingen: i cittadini hanno bocciato il testo con il 75,6 percento dei voti. Il comune di Andelfingen bocciando l’iniziativa si è espresso come il suo cantone."
31,41.9,41.9,58.1,"Henggart ZH","Henggart (ZH)","Henggart ZH","Keine Mehrheit für die Justizinitiative in Henggart: Mit 6'595 Nein-Stimmen zu 4'763 Ja-Stimmen oder 58,1 Prozent hat die Gemeinde das Volksbegehren verworfen. Henggart hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","NA NA","Con il 58,1 percento di ""no"", i cittadini del comune di Henggart hanno bocciato l'Iniziativa sulla giustizia Il comune di Henggart bocciando l’iniziativa si è espresso come il suo cantone."
32,14.2,14.2,85.8,"Humlikon ZH","Humlikon (ZH)","Humlikon ZH","Nein zur Justizinitiative in Humlikon: Mit 9'902 Nein- zu 1'641 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 85,8 Prozent. Humlikon hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","NA NA","A Humlikon i cittadini hanno respinto, con il 85,8 percento dei voti, l'Iniziativa popolare “Per la designazione dei giudici federali mediante sorteggio” Il comune di Humlikon bocciando l’iniziativa si è espresso come il suo cantone."
33,59.1,59.1,40.9,"Kleinandelfingen ZH","Kleinandelfingen (ZH)","Kleinandelfingen ZH","Ja zur Justizinitiative in Kleinandelfingen: Mit 59,1 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Kleinandelfingen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","NA NA","Sì all'Iniziativa sulla giustizia nel comune di Kleinandelfingen: i cittadini hanno approvato il testo con il 59,1 percento dei voti. Il comune di Kleinandelfingen approvando l’iniziativa è andato controcorrente rispetto al suo cantone."
34,38,38,62,"Laufen-Uhwiesen ZH","Laufen-Uhwiesen (ZH)","Laufen-Uhwiesen ZH","Keine Mehrheit für die Justizinitiative in Laufen-Uhwiesen: Mit 9'634 Nein-Stimmen zu 5'902 Ja-Stimmen oder 62 Prozent hat die Gemeinde das Volksbegehren verworfen. Laufen-Uhwiesen hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","NA NA","Con il 62 percento di ""no"", i cittadini del comune di Laufen-Uhwiesen hanno bocciato l'Iniziativa sulla giustizia Il comune di Laufen-Uhwiesen bocciando l’iniziativa si è espresso come il suo cantone."
35,68.3,68.3,31.7,"Marthalen ZH","Marthalen (ZH)","Marthalen ZH","Ja zur Justizinitiative in Marthalen: Mit 68,3 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Marthalen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","NA NA","Sì all'Iniziativa sulla giustizia nel comune di Marthalen: i cittadini hanno approvato il testo con il 68,3 percento dei voti. Il comune di Marthalen approvando l’iniziativa è andato controcorrente rispetto al suo cantone."
37,44.7,44.7,55.3,"Ossingen ZH","Ossingen (ZH)","Ossingen ZH","Ossingen hat die Justizinitiative mit 55,3 Prozent abgelehnt. Ossingen hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","NA NA","Da Ossingen è arrivato un ""no"" alle urne per l'Iniziativa sulla giustizia. I cittadini hanno respinto il testo con il 55,3 percento dei voti. Il comune di Ossingen bocciando l’iniziativa si è espresso come il suo cantone."
